proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
Doxycycline Hyclate,,DOXYCYCLINE HYCLATE,"TABLET, DELAYED RELEASE",ORAL,20110411,,DOXYCYCLINE HYCLATE,75,mg/1,
Doxycycline Hyclate,,DOXYCYCLINE HYCLATE,"TABLET, DELAYED RELEASE",ORAL,20110411,,DOXYCYCLINE HYCLATE,100,mg/1,
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,5,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,10,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,20,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,40,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Minocycline Hydrochloride,,Minocycline Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20090203,,MINOCYCLINE HYDROCHLORIDE,45,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
Minocycline Hydrochloride,,Minocycline Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20090203,,MINOCYCLINE HYDROCHLORIDE,90,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
Minocycline Hydrochloride,,Minocycline Hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20090203,,MINOCYCLINE HYDROCHLORIDE,135,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,7.5,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,15,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Oxymorphone hydrochloride,,Oxymorphone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20130102,,OXYMORPHONE HYDROCHLORIDE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
Doxycycline,,Doxycycline,CAPSULE,ORAL,20110217,,DOXYCYCLINE,150,mg/1,
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,1.25; 1.25; 1.25; 1.25,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,2.5; 2.5; 2.5; 2.5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,3.75; 3.75; 3.75; 3.75,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,5; 5; 5; 5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,6.25; 6.25; 6.25; 6.25,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","CAPSULE, EXTENDED RELEASE",ORAL,20131217,,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,7.5; 7.5; 7.5; 7.5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]"
Fenofibric Acid,,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",ORAL,20081215,,FENOFIBRIC ACID,45,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC]
Fenofibric Acid,,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",ORAL,20081215,,FENOFIBRIC ACID,135,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC]
Lidocaine and Prilocaine,,Lidocaine and Prilocaine,CREAM,TOPICAL,20030827,,LIDOCAINE; PRILOCAINE,25; 25,mg/g; mg/g,"Amide Local Anesthetic [EPC],Amides [Chemical/Ingredient],Antiarrhythmic [EPC],Local Anesthesia [PE],Amide Local Anesthetic [EPC],Amides [Chemical/Ingredient],Local Anesthesia [PE]"
Mometasone Furoate,,Mometasone Furoate,OINTMENT,TOPICAL,20031114,,MOMETASONE FUROATE,1,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA],Corticosteroid Hormone Receptor Agonists [MoA]"
Mometasone Furoate,,Mometasone Furoate,CREAM,TOPICAL,20070418,,MOMETASONE FUROATE,1,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA],Corticosteroid Hormone Receptor Agonists [MoA]"
Mometasone furoate,,Mometasone Furoate,LOTION,TOPICAL,20071121,,MOMETASONE FUROATE,1,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA],Corticosteroid Hormone Receptor Agonists [MoA]"
Betamethasone,,Betamethasone,CREAM,TOPICAL,20040123,,BETAMETHASONE DIPROPIONATE,0.5,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
Fluticasone Propionate,,Fluticasone Propionate,CREAM,TOPICAL,20040514,,FLUTICASONE PROPIONATE,0.5,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
Metronidazole,,Metronidazole,GEL,TOPICAL,20060713,,METRONIDAZOLE,7.5,mg/g,"Nitroimidazole Antimicrobial [EPC],Nitroimidazoles [Chemical/Ingredient]"
Calcipotriene,,Calcipotriene,SOLUTION,TOPICAL,20091120,,CALCIPOTRIENE,0.05,mg/mL,"Vitamin D [Chemical/Ingredient],Vitamin D Analog [EPC]"
Imiquimod,,Imiquimod,CREAM,TOPICAL,20110228,,IMIQUIMOD,50,mg/g,"Increased Cytokine Activity [PE],Increased Cytokine Production [PE],Interferon Inducers [MoA]"
Diclofenac Sodium,,Diclofenac Sodium,GEL,TOPICAL,20131121,,DICLOFENAC SODIUM,30,mg/g,"Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Sevelamer Carbonate,,sevelamer carbonate,"TABLET, FILM COATED",ORAL,20140416,,SEVELAMER CARBONATE,800,mg/1,"Phosphate Binder [EPC],Phosphate Chelating Activity [MoA]"
URSODIOL,,URSODIOL,"TABLET, FILM COATED",ORAL,20111223,,URSODIOL,250,mg/1,"Bile Acid [EPC],Bile Acids and Salts [Chemical/Ingredient]"
URSODIOL,,URSODIOL,"TABLET, FILM COATED",ORAL,20111223,,URSODIOL,500,mg/1,"Bile Acid [EPC],Bile Acids and Salts [Chemical/Ingredient]"
Lamotrigine,,LAMOTRIGINE,"TABLET, ORALLY DISINTEGRATING",ORAL,20150109,,LAMOTRIGINE,25,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Lamotrigine,,LAMOTRIGINE,"TABLET, ORALLY DISINTEGRATING",ORAL,20150109,,LAMOTRIGINE,50,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Lamotrigine,,LAMOTRIGINE,"TABLET, ORALLY DISINTEGRATING",ORAL,20150109,,LAMOTRIGINE,100,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Lamotrigine,,LAMOTRIGINE,"TABLET, ORALLY DISINTEGRATING",ORAL,20150109,,LAMOTRIGINE,200,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
FLAVOXATE HYDROCHLORIDE,,FLAVOXATE HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20030828,,FLAVOXATE HYDROCHLORIDE,100,mg/1,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"
Rimantadine Hydrochloride,,Rimantadine Hydrochloride,"TABLET, FILM COATED",ORAL,20050401,,RIMANTADINE HYDROCHLORIDE,100,mg/1,"Influenza A M2 Protein Inhibitor [EPC],M2 Protein Inhibitors [MoA]"
Orphenadrine Citrate,,ORPHENADRINE CITRATE,"TABLET, EXTENDED RELEASE",ORAL,20000623,,ORPHENADRINE CITRATE,100,mg/1,"Centrally-mediated Muscle Relaxation [PE],Muscle Relaxant [EPC]"
Demeclocycline Hydrochloride,,Demeclocycline Hydrochloride,"TABLET, FILM COATED",ORAL,20040322,,DEMECLOCYCLINE HYDROCHLORIDE,150,mg/1,"Tetracycline-class Antimicrobial [EPC],Tetracyclines [Chemical/Ingredient]"
Demeclocycline Hydrochloride,,Demeclocycline Hydrochloride,"TABLET, FILM COATED",ORAL,20040322,,DEMECLOCYCLINE HYDROCHLORIDE,300,mg/1,"Tetracycline-class Antimicrobial [EPC],Tetracyclines [Chemical/Ingredient]"
TERBUTALINE SULFATE,,TERBUTALINE SULFATE,TABLET,ORAL,20010626,,TERBUTALINE SULFATE,2.5,mg/1,
TERBUTALINE SULFATE,,TERBUTALINE SULFATE,TABLET,ORAL,20010626,,TERBUTALINE SULFATE,5,mg/1,
SOTALOL HYDROCHLORIDE,,SOTALOL HYDROCHLORIDE,TABLET,ORAL,20001107,,SOTALOL HYDROCHLORIDE,80,mg/1,"Antiarrhythmic [EPC],Cardiac Rhythm Alteration [PE],Adrenergic beta-Antagonists [MoA]"
SOTALOL HYDROCHLORIDE,,SOTALOL HYDROCHLORIDE,TABLET,ORAL,20001107,,SOTALOL HYDROCHLORIDE,120,mg/1,"Antiarrhythmic [EPC],Cardiac Rhythm Alteration [PE],Adrenergic beta-Antagonists [MoA]"
SOTALOL HYDROCHLORIDE,,SOTALOL HYDROCHLORIDE,TABLET,ORAL,20001107,,SOTALOL HYDROCHLORIDE,160,mg/1,"Antiarrhythmic [EPC],Cardiac Rhythm Alteration [PE],Adrenergic beta-Antagonists [MoA]"
SOTALOL HYDROCHLORIDE,,SOTALOL HYDROCHLORIDE,TABLET,ORAL,20001107,,SOTALOL HYDROCHLORIDE,240,mg/1,"Antiarrhythmic [EPC],Cardiac Rhythm Alteration [PE],Adrenergic beta-Antagonists [MoA]"
Chloroquine Phosphate,,CHLOROQUINE PHOSPHATE,TABLET,ORAL,19741211,,CHLOROQUINE PHOSPHATE,250,mg/1,Antimalarial [EPC]
Riluzole,,RILUZOLE,"TABLET, FILM COATED",ORAL,20030129,,RILUZOLE,50,mg/1,"Benzothiazole [EPC],Benzothiazoles [Chemical/Ingredient]"
Pyridostigmine Bromide,,PYRIDOSTIGMINE BROMIDE,TABLET,ORAL,20030424,,PYRIDOSTIGMINE BROMIDE,60,mg/1,"Cholinesterase Inhibitor [EPC],Cholinesterase Inhibitors [MoA]"
Carbidopa and Levodopa,,CARBIDOPA and LEVODOPA,"TABLET, EXTENDED RELEASE",ORAL,20040514,,CARBIDOPA; LEVODOPA,50; 200,mg/1; mg/1,"Aromatic Amino Acid Decarboxylation Inhibitor [EPC],DOPA Decarboxylase Inhibitors [MoA],Aromatic Amino Acid Decarboxylation Inhibitor [EPC],DOPA Decarboxylase Inhibitors [MoA]"
Carbidopa and Levodopa,,CARBIDOPA and LEVODOPA,"TABLET, EXTENDED RELEASE",ORAL,20040514,,CARBIDOPA; LEVODOPA,25; 100,mg/1; mg/1,"Aromatic Amino Acid Decarboxylation Inhibitor [EPC],DOPA Decarboxylase Inhibitors [MoA],Aromatic Amino Acid Decarboxylation Inhibitor [EPC],DOPA Decarboxylase Inhibitors [MoA]"
MIDODRINE HYDROCHLORIDE,,MIDODRINE HYDROCHLORIDE,TABLET,ORAL,20040527,,MIDODRINE HYDROCHLORIDE,2.5,mg/1,"Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]"
MIDODRINE HYDROCHLORIDE,,MIDODRINE HYDROCHLORIDE,TABLET,ORAL,20040527,,MIDODRINE HYDROCHLORIDE,5,mg/1,"Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]"
MIDODRINE HYDROCHLORIDE,,MIDODRINE HYDROCHLORIDE,TABLET,ORAL,20051216,,MIDODRINE HYDROCHLORIDE,10,mg/1,"Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]"
Dantrolene Sodium,,Dantrolene Sodium,CAPSULE,ORAL,20050301,,DANTROLENE SODIUM,25,mg/1,"Decreased Striated Muscle Contraction [PE],Decreased Striated Muscle Tone [PE],Skeletal Muscle Relaxant [EPC]"
Dantrolene Sodium,,Dantrolene Sodium,CAPSULE,ORAL,20050301,,DANTROLENE SODIUM,50,mg/1,"Decreased Striated Muscle Contraction [PE],Decreased Striated Muscle Tone [PE],Skeletal Muscle Relaxant [EPC]"
Dantrolene Sodium,,Dantrolene Sodium,CAPSULE,ORAL,20050301,,DANTROLENE SODIUM,100,mg/1,"Decreased Striated Muscle Contraction [PE],Decreased Striated Muscle Tone [PE],Skeletal Muscle Relaxant [EPC]"
COLESTIPOL HYDROCHLORIDE,,COLESTIPOL HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20061024,,COLESTIPOL HYDROCHLORIDE,1,g/1,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]"
COLESTIPOL HYDROCHLORIDE,,COLESTIPOL HYDROCHLORIDE,SUSPENSION,ORAL,20060502,,COLESTIPOL HYDROCHLORIDE,5,g/1,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]"
COLESTIPOL HYDROCHLORIDE,,COLESTIPOL HYDROCHLORIDE,SUSPENSION,ORAL,20060502,,COLESTIPOL HYDROCHLORIDE,5,g/1,"Bile Acid Sequestrant [EPC],Bile-acid Binding Activity [MoA]"
Nadolol and Bendroflumethiazide,,NADOLOL and BENDROFLUMETHIAZIDE,TABLET,ORAL,20070330,,BENDROFLUMETHIAZIDE; NADOLOL,5; 40,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"
Nadolol and Bendroflumethiazide,,NADOLOL and BENDROFLUMETHIAZIDE,TABLET,ORAL,20070330,,BENDROFLUMETHIAZIDE; NADOLOL,5; 80,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"
Bupropion Hydrochloride,,BUPROPION HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20041203,,BUPROPION HYDROCHLORIDE,200,mg/1,"Aminoketone [EPC],Dopamine Uptake Inhibitors [MoA],Increased Dopamine Activity [PE],Increased Norepinephrine Activity [PE],Norepinephrine Uptake Inhibitors [MoA]"
FENOFIBRATE,,FENOFIBRATE,TABLET,ORAL,20100201,,FENOFIBRATE,54,mg/1,"Peroxisome Proliferator Receptor alpha Agonist [EPC],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],PPAR alpha [Chemical/Ingredient]"
FENOFIBRATE,,FENOFIBRATE,TABLET,ORAL,20100201,,FENOFIBRATE,160,mg/1,"Peroxisome Proliferator Receptor alpha Agonist [EPC],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],PPAR alpha [Chemical/Ingredient]"
Pilocarpine Hydrochloride,,PILOCARPINE HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20070501,,PILOCARPINE HYDROCHLORIDE,7.5,mg/1,"Cholinergic Agonists [MoA],Cholinergic Muscarinic Agonists [MoA],Cholinergic Receptor Agonist [EPC]"
Pilocarpine Hydrochloride,,PILOCARPINE HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20070501,,PILOCARPINE HYDROCHLORIDE,5,mg/1,"Cholinergic Agonists [MoA],Cholinergic Muscarinic Agonists [MoA],Cholinergic Receptor Agonist [EPC]"
Bupropion Hydrochloride,,BUPROPION HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20090501,,BUPROPION HYDROCHLORIDE,150,mg/1,"Aminoketone [EPC],Dopamine Uptake Inhibitors [MoA],Increased Dopamine Activity [PE],Increased Norepinephrine Activity [PE],Norepinephrine Uptake Inhibitors [MoA]"
Divalproex Sodium,,DIVALPROEX SODIUM,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20090804,,DIVALPROEX SODIUM,250,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Divalproex Sodium,,DIVALPROEX SODIUM,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20090804,,DIVALPROEX SODIUM,500,mg/1,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"
Chloroquine Phosphate,,CHLOROQUINE PHOSPHATE,TABLET,ORAL,20051101,,CHLOROQUINE PHOSPHATE,500,mg/1,Antimalarial [EPC]
MINOCYCLINE HYDROCHLORIDE,,MINOCYCLINE HYDROCHLORIDE,CAPSULE,ORAL,19990323,,MINOCYCLINE HYDROCHLORIDE,50,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
MINOCYCLINE HYDROCHLORIDE,,MINOCYCLINE HYDROCHLORIDE,CAPSULE,ORAL,19990323,,MINOCYCLINE HYDROCHLORIDE,100,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
Fludrocortisone Acetate,,FLUDROCORTISONE ACETATE,TABLET,ORAL,20020318,,FLUDROCORTISONE ACETATE,0.1,mg/1,
METHITEST,,METHYLTESTOSTERONE,TABLET,ORAL,19741017,,METHYLTESTOSTERONE,10,mg/1,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]"
MINOCYCLINE HYDROCHLORIDE,,MINOCYCLINE HYDROCHLORIDE,CAPSULE,ORAL,19990323,,MINOCYCLINE HYDROCHLORIDE,75,mg/1,"Tetracycline-class Drug [EPC],Tetracyclines [Chemical/Ingredient]"
Tamsulosin Hydrochloride,,TAMSULOSIN HYDROCHLORIDE,CAPSULE,ORAL,20100302,,TAMSULOSIN HYDROCHLORIDE,0.4,mg/1,"Adrenergic alpha-Antagonists [MoA],alpha-Adrenergic Blocker [EPC]"
ALPRAZOLAM,,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,20070524,,ALPRAZOLAM,0.5,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
ALPRAZOLAM,,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,20070524,,ALPRAZOLAM,1,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
ALPRAZOLAM,,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,20070524,,ALPRAZOLAM,2,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
ALPRAZOLAM,,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,20070524,,ALPRAZOLAM,3,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
Bethanechol Chloride,,BETHANECHOL CHLORIDE,TABLET,ORAL,20070501,,BETHANECHOL CHLORIDE,5,mg/1,"Cholinergic Muscarinic Agonist [EPC],Cholinergic Muscarinic Agonists [MoA]"
Bethanechol Chloride,,BETHANECHOL CHLORIDE,TABLET,ORAL,20070501,,BETHANECHOL CHLORIDE,10,mg/1,"Cholinergic Muscarinic Agonist [EPC],Cholinergic Muscarinic Agonists [MoA]"
Bethanechol Chloride,,BETHANECHOL CHLORIDE,TABLET,ORAL,20070501,,BETHANECHOL CHLORIDE,25,mg/1,"Cholinergic Muscarinic Agonist [EPC],Cholinergic Muscarinic Agonists [MoA]"
Bethanechol Chloride,,BETHANECHOL CHLORIDE,TABLET,ORAL,20070501,,BETHANECHOL CHLORIDE,50,mg/1,"Cholinergic Muscarinic Agonist [EPC],Cholinergic Muscarinic Agonists [MoA]"
Clonidine Hydrochloride,,Clonidine Hydrochloride,TABLET,ORAL,20091201,,CLONIDINE HYDROCHLORIDE,0.1,mg/1,"Adrenergic alpha2-Agonists [MoA],Central alpha-2 Adrenergic Agonist [EPC]"
Clonidine Hydrochloride,,Clonidine Hydrochloride,TABLET,ORAL,20091201,,CLONIDINE HYDROCHLORIDE,0.2,mg/1,"Adrenergic alpha2-Agonists [MoA],Central alpha-2 Adrenergic Agonist [EPC]"
Clonidine Hydrochloride,,Clonidine Hydrochloride,TABLET,ORAL,20091201,,CLONIDINE HYDROCHLORIDE,0.3,mg/1,"Adrenergic alpha2-Agonists [MoA],Central alpha-2 Adrenergic Agonist [EPC]"
Digoxin,,DIGOXIN,TABLET,ORAL,20090720,,DIGOXIN,125,ug/1,"Cardiac Glycoside [EPC],Cardiac Glycosides [Chemical/Ingredient]"
Digoxin,,DIGOXIN,TABLET,ORAL,20090720,,DIGOXIN,250,ug/1,"Cardiac Glycoside [EPC],Cardiac Glycosides [Chemical/Ingredient]"
GEMFIBROZIL,,GEMFIBROZIL,"TABLET, COATED",ORAL,20091001,,GEMFIBROZIL,600,mg/1,"Peroxisome Proliferator Receptor alpha Agonist [EPC],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],PPAR alpha [Chemical/Ingredient]"
Dyna-Hex,2,CHLORHEXIDINE GLUCONATE,LIQUID,TOPICAL,20140101,,CHLORHEXIDINE GLUCONATE,2,g/100mL,
ANTISEPTIC SKIN CLEANSER,,CHLORHEXIDINE GLUCONATE,SOLUTION,TOPICAL,20110831,,CHLORHEXIDINE GLUCONATE,4,g/100mL,
Chlorhexidine Gluconate,,Chlorhexidine Gluconate,RINSE,ORAL,20090801,,CHLORHEXIDINE GLUCONATE,0.12,mg/mL,Decreased Cell Wall Integrity [PE]
Scrub Care,Exidine -4 CHG,Chlorhexidine gluconate,LIQUID,TOPICAL,19900801,,CHLORHEXIDINE GLUCONATE,4,mg/100mL,
Milk of Magnesia,,Magnesium Hydroxide,SUSPENSION,ORAL,19790904,,MAGNESIUM HYDROXIDE,400,mg/5mL,
POTASSIUM CHLORIDE,,POTASSIUM CHLORIDE,SOLUTION,ORAL,19690101,,POTASSIUM CHLORIDE,1.5,g/15mL,"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC]"
Potassium Chloride,,Potassium Chloride,SOLUTION,ORAL,20141001,,POTASSIUM CHLORIDE,3,g/15mL,"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC]"
DIPHENHYDRAMINE HYDROCHLORIDE,,DIPHENHYDRAMINE HYDROCHLORIDE,SOLUTION,ORAL,19820210,,DIPHENHYDRAMINE HYDROCHLORIDE,12.5,mg/5mL,"Histamine H1 Receptor Antagonists [MoA],Histamine-1 Receptor Antagonist [EPC]"
Acetaminophen and Codeine Phosphate,,ACETAMINOPHEN and CODEINE PHOSPHATE,SOLUTION,ORAL,19810821,,ACETAMINOPHEN; CODEINE PHOSPHATE,120; 12,mg/5mL; mg/5mL,
MILK OF MAGNESIA,,MAGNESIUM HYDROXIDE,SUSPENSION,ORAL,19820420,,MAGNESIUM HYDROXIDE,2400,mg/10mL,
Docusate Sodium,,Docusate Sodium,LIQUID,ORAL,19830216,,DOCUSATE SODIUM,50,mg/5mL,
